video_id,title,tags,view_count,like_count,watch_time_minutes,upload_date,age_group,content_type
vid_79,Dinosaur Facts,"science, dinosaurs",28770,3918,222,2025-03-26,6-8,educational
vid_80,Counting Stars,"science, dinosaurs",20648,2306,274,2025-05-14,6-8,storytelling
vid_81,Counting Stars,"math, numbers",18593,3745,147,2025-03-21,3-5,music
vid_82,Learn Colors,"music, abc",53281,4302,249,2024-10-24,3-5,educational
vid_83,ABC Song,"science, dinosaurs",26935,9656,89,2025-03-30,6-8,music
vid_84,Fairy Tale,"colors, learning",92280,5901,31,2024-11-19,6-8,educational
vid_85,Dinosaur Facts,"colors, learning",75975,4484,257,2025-05-03,3-5,educational
vid_86,Dinosaur Facts,"colors, learning",78906,6812,14,2024-08-20,6-8,storytelling
vid_87,Learn Colors,"story, fairy",44877,2793,179,2025-04-01,6-8,storytelling
vid_88,Fairy Tale,"story, fairy",34549,8828,13,2024-08-18,6-8,storytelling
vid_89,Dinosaur Facts,"music, abc",25584,6881,63,2024-06-23,3-5,storytelling
vid_90,ABC Song,"music, abc",43670,8566,293,2025-04-29,3-5,educational
vid_91,Dinosaur Facts,"math, numbers",63748,4161,159,2024-06-24,3-5,music
vid_92,Dinosaur Facts,"colors, learning",48940,666,36,2024-05-29,3-5,educational
vid_93,Learn Colors,"colors, learning",3617,7287,17,2025-02-09,6-8,storytelling
vid_94,Counting Stars,"colors, learning",47406,6056,211,2024-06-24,6-8,music
vid_95,Learn Colors,"math, numbers",96947,9320,213,2025-03-23,3-5,educational
vid_96,Fairy Tale,"story, fairy",13415,744,208,2025-01-17,3-5,music
vid_97,Learn Colors,"story, fairy",9986,1715,292,2024-06-26,6-8,storytelling
vid_98,Counting Stars,"story, fairy",17680,7413,209,2024-12-10,6-8,music
vid_99,Counting Stars,"science, dinosaurs",56338,6934,212,2024-08-15,6-8,music
